id,circuit_code,name,location,country,lat,lng,altitude_m,track_length_km,high_speed_bias,overtake_difficulty,tire_degradation_bias
galvez,GALVEZ,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,,,,,
adelaide,ADELAIDE,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,,,,,
albert_park,ALBERT_PARK,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,,,,,
red_bull_ring,RED_BULL_RING,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,,,,,
zeltweg,ZELTWEG,Zeltweg,Styria,Austria,47.2039,14.7478,,,,,
baku,BAKU,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,,,,,
bahrain,BAHRAIN,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,,,,,
spa,SPA,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,,,,,
nivelles,NIVELLES,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,,,,,
zolder,ZOLDER,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,,,,,
jacarepagua,JACAREPAGUA,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,,,,,
interlagos,INTERLAGOS,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,,,,,
villeneuve,VILLENEUVE,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,,,,,
tremblant,TREMBLANT,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,,,,,
mosport,MOSPORT,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,,,,,
shanghai,SHANGHAI,Shanghai International Circuit,Shanghai,China,31.3389,121.22,,,,,
charade,CHARADE,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,,,,,
ricard,RICARD,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,,,,,
magny_cours,MAGNY_COURS,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,,,,,
dijon,DIJON,Dijon-Prenois,Dijon,France,47.3625,4.89913,,,,,
lemans,LEMANS,Le Mans,Le Mans,France,47.95,0.224231,,,,,
reims,REIMS,Reims-Gueux,Reims,France,49.2542,3.93083,,,,,
essarts,ESSARTS,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,,,,,
avus,AVUS,AVUS,Berlin,Germany,52.4806,13.2514,,,,,
hockenheimring,HOCKENHEIMRING,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,,,,,
nurburgring,NURBURGRING,Nürburgring,Nürburg,Germany,50.3356,6.9475,,,,,
hungaroring,HUNGARORING,Hungaroring,Budapest,Hungary,47.5789,19.2486,,,,,
buddh,BUDDH,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,,,,,
imola,IMOLA,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,,,,,
mugello,MUGELLO,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,,,,,
monza,MONZA,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,,,,,
pescara,PESCARA,Pescara Circuit,Pescara,Italy,42.475,14.1508,,,,,
fuji,FUJI,Fuji Speedway,Oyama,Japan,35.3717,138.927,,,,,
okayama,OKAYAMA,Okayama International Circuit,Okayama,Japan,34.915,134.221,,,,,
suzuka,SUZUKA,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,,,,,
yeongam,YEONGAM,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,,,,,
sepang,SEPANG,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,,,,,
rodriguez,RODRIGUEZ,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,,,,,
monaco,MONACO,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,,,,,
ain-diab,AIN-DIAB,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,,,,,
zandvoort,ZANDVOORT,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,,,,,
portimao,PORTIMAO,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,,,,,
estoril,ESTORIL,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,,,,,
boavista,BOAVISTA,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,,,,,
monsanto,MONSANTO,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,,,,,
losail,LOSAIL,Losail International Circuit,Lusail,Qatar,25.49,51.4542,,,,,
sochi,SOCHI,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,,,,,
jeddah,JEDDAH,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,,,,,
marina_bay,MARINA_BAY,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,,,,,
kyalami,KYALAMI,Kyalami,Midrand,South Africa,-25.9894,28.0767,,,,,
george,GEORGE,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,,,,,
catalunya,CATALUNYA,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,,,,,
pedralbes,PEDRALBES,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,,,,,
jerez,JEREZ,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,,,,,
jarama,JARAMA,Jarama,Madrid,Spain,40.6171,-3.58558,,,,,
madring,MADRING,Madring,Madrid,Spain,40.46528,-3.61528,,,,,
montjuic,MONTJUIC,Montjuïc,Barcelona,Spain,41.3664,2.15167,,,,,
valencia,VALENCIA,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,,,,,
anderstorp,ANDERSTORP,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,,,,,
bremgarten,BREMGARTEN,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,,,,,
istanbul,ISTANBUL,Istanbul Park,Istanbul,Turkey,40.9517,29.405,,,,,
yas_marina,YAS_MARINA,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,,,,,
aintree,AINTREE,Aintree,Liverpool,UK,53.4769,-2.94056,,,,,
brands_hatch,BRANDS_HATCH,Brands Hatch,Kent,UK,51.3569,0.263056,,,,,
donington,DONINGTON,Donington Park,Castle Donington,UK,52.8306,-1.37528,,,,,
silverstone,SILVERSTONE,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,,,,,
americas,AMERICAS,Circuit of the Americas,Austin,USA,30.1328,-97.6411,,,,,
detroit,DETROIT,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,,,,,
dallas,DALLAS,Fair Park,Dallas,USA,32.7774,-96.7587,,,,,
indianapolis,INDIANAPOLIS,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,,,,,
las_vegas,LAS_VEGAS,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,,,,,
vegas,VEGAS,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,,,,,
long_beach,LONG_BEACH,Long Beach,California,USA,33.7651,-118.189,,,,,
miami,MIAMI,Miami International Autodrome,Miami,USA,25.9581,-80.2389,,,,,
phoenix,PHOENIX,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,,,,,
riverside,RIVERSIDE,Riverside International Raceway,California,USA,33.937,-117.273,,,,,
sebring,SEBRING,Sebring International Raceway,Florida,USA,27.4547,-81.3483,,,,,
watkins_glen,WATKINS_GLEN,Watkins Glen,New York State,USA,42.3369,-76.9272,,,,,
