id,season,round,race_id,driver_id,constructor_id,fp1_pace_s,fp2_pace_s,fp3_pace_s,quali_pace_s,fp2_long_run_pace_s,lap_variance_s,session_trend_delta_s,session_completeness,signal_confidence,source_label
2026-04-miami|antonelli,2026,4,2026-04-miami,antonelli,mercedes,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|russell,2026,4,2026-04-miami,russell,mercedes,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|leclerc,2026,4,2026-04-miami,leclerc,ferrari,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|hamilton,2026,4,2026-04-miami,hamilton,ferrari,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|norris,2026,4,2026-04-miami,norris,mclaren,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|gasly,2026,4,2026-04-miami,gasly,alpine,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|piastri,2026,4,2026-04-miami,piastri,mclaren,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|max_verstappen,2026,4,2026-04-miami,max_verstappen,red_bull,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|bearman,2026,4,2026-04-miami,bearman,haas,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|lawson,2026,4,2026-04-miami,lawson,rb,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|hadjar,2026,4,2026-04-miami,hadjar,red_bull,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|arvid_lindblad,2026,4,2026-04-miami,arvid_lindblad,rb,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|ocon,2026,4,2026-04-miami,ocon,haas,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|bortoleto,2026,4,2026-04-miami,bortoleto,audi,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|colapinto,2026,4,2026-04-miami,colapinto,alpine,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|hulkenberg,2026,4,2026-04-miami,hulkenberg,audi,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|sainz,2026,4,2026-04-miami,sainz,williams,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|perez,2026,4,2026-04-miami,perez,cadillac,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|albon,2026,4,2026-04-miami,albon,williams,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|bottas,2026,4,2026-04-miami,bottas,cadillac,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|stroll,2026,4,2026-04-miami,stroll,aston_martin,,,,,,,,0,0.25,race_week_session_features_v1
2026-04-miami|alonso,2026,4,2026-04-miami,alonso,aston_martin,,,,,,,,0,0.25,race_week_session_features_v1
