id,season,round,race_id,constructor_id,pit_efficiency_score,pit_loss_adjustment_s,strategy_success_proxy,double_stack_risk_score,confidence_score,source_label
2026-06-monaco|alpine,2026,6,2026-06-monaco,alpine,0.18000000000000002,0.592,0.360047,0.874,0.480078,strategy_lab_constructor_profile_v1
2026-06-monaco|aston_martin,2026,6,2026-06-monaco,aston_martin,0.0,0.88,0.022793,1.0,0.037988,strategy_lab_constructor_profile_v1
2026-06-monaco|audi,2026,6,2026-06-monaco,audi,0.08999999999999996,0.736,0.188963,0.937,0.254939,strategy_lab_constructor_profile_v1
2026-06-monaco|cadillac,2026,6,2026-06-monaco,cadillac,0.04499999999999996,0.808,0.074336,0.9685,0.093893,strategy_lab_constructor_profile_v1
2026-06-monaco|ferrari,2026,6,2026-06-monaco,ferrari,0.45,0.16,0.666751,0.685,0.811251,strategy_lab_constructor_profile_v1
2026-06-monaco|haas,2026,6,2026-06-monaco,haas,0.08999999999999996,0.736,0.19601,0.937,0.266684,strategy_lab_constructor_profile_v1
2026-06-monaco|mclaren,2026,6,2026-06-monaco,mclaren,0.225,0.52,0.469702,0.8425,0.632837,strategy_lab_constructor_profile_v1
2026-06-monaco|mercedes,2026,6,2026-06-monaco,mercedes,0.405,0.232,0.609256,0.7165,0.745427,strategy_lab_constructor_profile_v1
2026-06-monaco|rb,2026,6,2026-06-monaco,rb,0.135,0.664,0.246126,0.9055,0.32021,strategy_lab_constructor_profile_v1
2026-06-monaco|red_bull,2026,6,2026-06-monaco,red_bull,0.2700000000000001,0.448,0.447308,0.811,0.565513,strategy_lab_constructor_profile_v1
2026-06-monaco|williams,2026,6,2026-06-monaco,williams,0.135,0.664,0.23569,0.9055,0.302816,strategy_lab_constructor_profile_v1
